FIRE_NAME,INC_NUM,AGENCY,UNIT_ID,YEAR,start_day,end_day,GIS_ACRES
CARMEL,00004081,CDF,BEU,2020,2020-08-17,2020-09-05,6996.94189453125
BLUEJAY,00000054,NPS,YNP,2020,2020-07-24,2020-11-18,6921.9873046875
NORTH,00030547,BLM,CCD,2020,2020-08-01,2020-08-09,6882.26708984375
BOND,20136890,CDF,ORC,2020,2020-12-02,2020-12-06,6681.10107421875
SNOW,00119353,CDF,RRU,2020,2020-09-16,2020-09-23,6253.43701171875
CREWS,00004686,CDF,SCU,2020,2020-07-04,2020-07-14,5513
GRANT FIRE,00016543,CDF,AEU,2020,2020-06-11,2020-06-11,5062.1982421875
WOODWARD,00012009,NPS,RNP,2020,2020-08-17,2020-11-19,4901.70751953125
RANCH2,00003289,USF,ANF,2020,2020-08-12,2020-09-30,4119.203125
BEACH,00002140,USF,INF,2020,2020-08-15,2020-08-26,3668.427001953125
BRANCH,00009669,CDF,SLU,2020,2020-07-27,2020-08-02,2922.2041015625
BENA,02027271,CCO,KRN,2020,2020-06-30,2020-07-04,2884.443115234375
MOC,00009457,CDF,TCU,2020,2020-08-19,2020-09-04,2857.60498046875
LAURA 2,00006431,BLM,NOD,2020,2020-11-16,2020-11-22,2729.016357421875
MEYERS,00013481,CDF,LNU,2020,2020-08-16,2020-09-01,2360.2490234375
HOLSER,00066767,CCO,VNC,2020,2020-08-16,2020-08-21,2188.634033203125
PASS,00013431,CDF,MMU,2020,2020-06-27,2020-06-30,2163.662109375
HILLS,00012279,CDF,FKU,2020,2020-08-14,2020-09-26,2120.97998046875
WOLF,00000075,NPS,YNP,2020,2020-08-09,2020-11-18,2057.288330078125
FOX,00007241,USF,KNF,2020,2020-09-13,2020-09-27,2027.5526123046875
POND,00009866,CDF,SLU,2020,2020-07-31,2020-08-08,1962.3289794921875
SANDERSON,00160421,CDF,RRU,2020,2020-12-12,2020-12-13,1954.6510009765625
QUAIL,00008419,CDF,LNU,2020,2020-06-05,2020-06-17,1840.998046875
FORK,00027219,USF,ENF,2020,2020-09-07,2020-11-07,1668.4493408203125
SODA,00007149,CDF,SLU,2020,2020-06-09,2020-06-09,1653.114990234375
SALT,00009353,CDF,TCU,2020,2020-08-17,2020-08-27,1593.7320556640625
SOLEDAD,00197926,CCO,LAC,2020,2020-07-04,2020-07-06,1525.5352783203125
COYOTE,00003441,CDF,BEU,2020,2020-07-14,2020-07-17,1485.074951171875
WALKER,00006494,CDF,TCU,2020,2020-06-15,2020-06-22,1398.0040283203125
DALTON ,00000498,USF,MDF,2020,2020-07-22,2020-08-14,1367.07763671875
SCORPION,00001216,NPS,CNP,2020,2020-05-30,2020-06-04,1320.7232666015625
MORAINE,00000091,NPS,KNP,2020,2020-08-20,2020-12-28,1316.0328369140625
WILLOWS,00021423,CDF,NEU,2020,2020-09-08,2020-10-12,1309.0899658203125
OAK,00010700,CDF,MEU,2020,2020-09-06,2020-09-27,1146.4659423828125
AIRPORT,00154602,CDF,RRU,2020,2020-11-30,2020-12-12,1085.699951171875
IVANPAH,00009202,NPS,MNP,2020,2020-06-21,2020-06-25,1051.4815673828125
GRADE,00000298,CDF,TUU,2020,2020-06-21,2020-06-24,1050.239990234375
ALLEN,00000470,USF,MDF,2020,2020-07-20,2020-08-26,1034.7943115234375
