,GEOID,NAME,evacuation1,evacuation2,evacuation3,evacuation4,evacuation5,evacuation6,evacuation7,evacuation8,evacuation9,evacuation10,evacuation11,evacuation12,evacuation13,evacuation14,evacuation15,evacuation16,evacuation17,evacuation18,evacuation19,evacuation20,evacuation21,evacuation22,evacuation23,evacuation24,evacuation25,evacuation26,evacuation27,evacuation28,evacuation29
53,6097152501,"Census Tract 1525.01, Sonoma County, California",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6097152502,"Census Tract 1525.02, Sonoma County, California",52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6097152600,"Census Tract 1526, Sonoma County, California",19,20,21,22,40,41,42,43,44,45,50,52,53,,,,,,,,,,,,,,,,
56,6097152701,"Census Tract 1527.01, Sonoma County, California",19,40,42,44,45,47,49,53,,,,,,,,,,,,,,,,,,,,,
57,6097152702,"Census Tract 1527.02, Sonoma County, California",41,43,53,60,,,,,,,,,,,,,,,,,,,,,,,,,
58,6097152801,"Census Tract 1528.01, Sonoma County, California",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,6097152802,"Census Tract 1528.02, Sonoma County, California",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6097152903,"Census Tract 1529.03, Sonoma County, California",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6097152904,"Census Tract 1529.04, Sonoma County, California",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6097152905,"Census Tract 1529.05, Sonoma County, California",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6097152906,"Census Tract 1529.06, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6097153001,"Census Tract 1530.01, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6097153002,"Census Tract 1530.02, Sonoma County, California",31,32,34,36,38,,,,,,,,,,,,,,,,,,,,,,,,
66,6097153003,"Census Tract 1530.03, Sonoma County, California",31,32,34,36,38,,,,,,,,,,,,,,,,,,,,,,,,
67,6097153005,"Census Tract 1530.05, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6097153006,"Census Tract 1530.06, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6097153102,"Census Tract 1531.02, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6097153103,"Census Tract 1531.03, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6097153104,"Census Tract 1531.04, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6097153200,"Census Tract 1532, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6097153300,"Census Tract 1533, Sonoma County, California",30,31,32,34,36,38,,,,,,,,,,,,,,,,,,,,,,,
74,6097153401,"Census Tract 1534.01, Sonoma County, California",30,31,35,37,39,,,,,,,,,,,,,,,,,,,,,,,,
75,6097153403,"Census Tract 1534.03, Sonoma County, California",30,31,32,35,37,39,,,,,,,,,,,,,,,,,,,,,,,
76,6097153404,"Census Tract 1534.04, Sonoma County, California",30,31,32,35,37,39,,,,,,,,,,,,,,,,,,,,,,,
77,6097153501,"Census Tract 1535.01, Sonoma County, California",30,31,32,35,37,39,,,,,,,,,,,,,,,,,,,,,,,
78,6097153502,"Census Tract 1535.02, Sonoma County, California",30,31,35,37,39,,,,,,,,,,,,,,,,,,,,,,,,
79,6097153600,"Census Tract 1536, Sonoma County, California",13,29,31,32,35,37,39,,,,,,,,,,,,,,,,,,,,,,
80,6097153703,"Census Tract 1537.03, Sonoma County, California",5,6,9,29,31,32,35,37,39,,,,,,,,,,,,,,,,,,,,
81,6097153704,"Census Tract 1537.04, Sonoma County, California",1,2,4,5,6,8,12,18,29,31,32,35,37,39,,,,,,,,,,,,,,,
82,6097153705,"Census Tract 1537.05, Sonoma County, California",5,9,12,13,14,15,16,18,28,29,31,32,35,37,39,,,,,,,,,,,,,,
83,6097153706,"Census Tract 1537.06, Sonoma County, California",12,13,15,29,31,32,35,37,39,,,,,,,,,,,,,,,,,,,,
84,6097153801,"Census Tract 1538.01, Sonoma County, California",9,15,16,28,29,31,32,34,36,38,41,43,,,,,,,,,,,,,,,,,
85,6097153804,"Census Tract 1538.04, Sonoma County, California",27,29,31,32,34,36,38,41,43,,,,,,,,,,,,,,,,,,,,
86,6097153806,"Census Tract 1538.06, Sonoma County, California",27,29,31,32,34,36,38,41,43,,,,,,,,,,,,,,,,,,,,
87,6097153807,"Census Tract 1538.07, Sonoma County, California",27,28,29,31,32,34,36,40,42,44,45,47,49,,,,,,,,,,,,,,,,
88,6097153808,"Census Tract 1538.08, Sonoma County, California",27,28,29,31,32,34,36,38,41,43,,,,,,,,,,,,,,,,,,,
89,6097153809,"Census Tract 1538.09, Sonoma County, California",27,28,29,31,32,34,36,38,41,43,,,,,,,,,,,,,,,,,,,
90,6097153901,"Census Tract 1539.01, Sonoma County, California",16,29,31,32,34,36,38,40,41,42,43,44,45,47,48,49,56,,,,,,,,,,,,
91,6097153902,"Census Tract 1539.02, Sonoma County, California",16,41,43,,,,,,,,,,,,,,,,,,,,,,,,,,
92,6097153903,"Census Tract 1539.03, Sonoma County, California",16,27,29,31,32,34,36,38,41,43,,,,,,,,,,,,,,,,,,,
93,6097154000,"Census Tract 1540, Sonoma County, California",1,2,4,6,7,11,15,16,17,18,28,29,31,32,35,37,39,,,,,,,,,,,,
94,6097154100,"Census Tract 1541, Sonoma County, California",11,15,16,26,27,28,29,31,32,34,36,38,39,40,41,42,43,44,45,46,47,48,49,56,61,62,63,65,66
95,6097154201,"Census Tract 1542.01, Sonoma County, California",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,6097154202,"Census Tract 1542.02, Sonoma County, California",8,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6097154302,"Census Tract 1543.02, Sonoma County, California",9,29,31,32,35,37,39,,,,,,,,,,,,,,,,,,,,,,
98,6097154303,"Census Tract 1543.03, Sonoma County, California",3,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
99,6097154304,"Census Tract 1543.04, Sonoma County, California",1,2,4,5,6,8,9,14,29,31,32,35,37,39,,,,,,,,,,,,,,,
100,6097990100,"Census Tract 9901, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
