Evacuation.ID,FIRE_NAME,INC_NUM,start_day,evac_date_issue,Date of Release,county,GIS_ACRES,Sources,evacuation.order.type,Evacuated Region,,GEOIDS,,
16,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 22nd, 2020 :: 10:25 a.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Warning ,"Zones 4A2, 4A3, 2A2, 2C4, 2G1, Town of Windsor Zone A",,"06097153801, 06097153705, 06097154202, 06097154201, 06097154100, 06097154000, 06097153901, 06097153903, 06097153902",,
17,LNU Lightning Complex,Not Found,8/17/20 6:40,"September 7th, 2020 :: 10:09 p.m.","September 8th, 2020 :: 08:40 a.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Mandatory ,Zone 2E4,,"06097154000, ",,
18,LNU Lightning Complex,Not Found,8/17/20 6:40,"September 7th, 2020 :: 10:09 p.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Warning ,Zone 1D5,,"06097153704, 06097153705, 06097154000",,
19,Glass Fire,15497,9/27/20 3:48,9/27/20 22:51,,"Napa, Sonoma",67484,https://socoemergency.org/recover/glass-wildfire/evacuation-order-history/,Mandatory ,2P1,,"06097152701, 06097152600, 06097152400",,
20,Glass Fire,15497,9/27/20 3:48,9/28/20 4:34,,"Napa, Sonoma",67484,https://socoemergency.org/recover/glass-wildfire/evacuation-order-history/,Mandatory ,2Q1,,"06097152600, ",,
21,Glass Fire,15497,9/27/20 3:48,9/27/20 20:27,,"Napa, Sonoma",67484,https://socoemergency.org/recover/glass-wildfire/evacuation-order-history/,Mandatory ,3G1,,"06097152600,",,
22,Glass Fire,15497,9/27/20 3:48,9/27/20 21:20,,"Napa, Sonoma",67484,https://socoemergency.org/recover/glass-wildfire/evacuation-order-history/,Mandatory ,"3G2, 3G3",,"06097152600, 06097151601, ",,
23,Glass Fire,15497,9/27/20 3:48,9/28/20 7:47,,"Napa, Sonoma",67484,https://socoemergency.org/recover/glass-wildfire/evacuation-order-history/,Mandatory ,"3P1, 3Q1",,"06097151602, 06097151503, 06097151502",,
24,Glass Fire,15497,9/27/20 3:48,9/28/20 0:19,,"Napa, Sonoma",67484,https://socoemergency.org/recover/glass-wildfire/evacuation-order-history/,Mandatory ,"6A1, 6B1, 6B2",,"06097151602, 06097151601, 06097150500",,
25,Glass Fire,15497,9/27/20 3:48,9/28/20 2:08,10/4/20 15:00,"Napa, Sonoma",67484,https://socoemergency.org/recover/glass-wildfire/evacuation-order-history/,Mandatory ,"6A2, 6B3",,"06097151602, 06097150500",,
