censusinfo,,,,,,,,,,,,,,,
Fresno_Census_Tracts,,,,,,,,,,,,,,,
GEOID,NAME,evacuation1,evacuation2,evacuation3,evacuation4,evacuation5,evacuation6,evacuation7,evacuation8,evacuation9,evacuation10,evacuation11,evacuation12,evacuation13,evacuation14
6019004215,"Census Tract 42.15, Fresno County, California",,,,,,,,,,,,,,
6019004216,"Census Tract 42.16, Fresno County, California",,,,,,,,,,,,,,
6019004301,"Census Tract 43.01, Fresno County, California",,,,,,,,,,,,,,
6019004302,"Census Tract 43.02, Fresno County, California",,,,,,,,,,,,,,
6019004303,"Census Tract 43.03, Fresno County, California",,,,,,,,,,,,,,
6019004404,"Census Tract 44.04, Fresno County, California",,,,,,,,,,,,,,
6019004405,"Census Tract 44.05, Fresno County, California",,,,,,,,,,,,,,
6019004406,"Census Tract 44.06, Fresno County, California",,,,,,,,,,,,,,
6019004408,"Census Tract 44.08, Fresno County, California",,,,,,,,,,,,,,
6019004409,"Census Tract 44.09, Fresno County, California",,,,,,,,,,,,,,
6019004503,"Census Tract 45.03, Fresno County, California",,,,,,,,,,,,,,
6019004504,"Census Tract 45.04, Fresno County, California",,,,,,,,,,,,,,
6019004505,"Census Tract 45.05, Fresno County, California",,,,,,,,,,,,,,
6019004506,"Census Tract 45.06, Fresno County, California",,,,,,,,,,,,,,
6019004601,"Census Tract 46.01, Fresno County, California",,,,,,,,,,,,,,
6019004602,"Census Tract 46.02, Fresno County, California",,,,,,,,,,,,,,
6019004701,"Census Tract 47.01, Fresno County, California",,,,,,,,,,,,,,
6019004703,"Census Tract 47.03, Fresno County, California",,,,,,,,,,,,,,
6019004704,"Census Tract 47.04, Fresno County, California",,,,,,,,,,,,,,
6019004801,"Census Tract 48.01, Fresno County, California",,,,,,,,,,,,,,
6019004802,"Census Tract 48.02, Fresno County, California",,,,,,,,,,,,,,
6019004901,"Census Tract 49.01, Fresno County, California",,,,,,,,,,,,,,
6019004902,"Census Tract 49.02, Fresno County, California",,,,,,,,,,,,,,
6019005000,"Census Tract 50, Fresno County, California",,,,,,,,,,,,,,
6019005100,"Census Tract 51, Fresno County, California",,,,,,,,,,,,,,
6019005202,"Census Tract 52.02, Fresno County, California",,,,,,,,,,,,,,
6019005203,"Census Tract 52.03, Fresno County, California",,,,,,,,,,,,,,
6019005204,"Census Tract 52.04, Fresno County, California",,,,,,,,,,,,,,
6019005301,"Census Tract 53.01, Fresno County, California",,,,,,,,,,,,,,
6019005302,"Census Tract 53.02, Fresno County, California",,,,,,,,,,,,,,
6019005304,"Census Tract 53.04, Fresno County, California",,,,,,,,,,,,,,
6019005305,"Census Tract 53.05, Fresno County, California",,,,,,,,,,,,,,
6019005403,"Census Tract 54.03, Fresno County, California",,,,,,,,,,,,,,
6019005405,"Census Tract 54.05, Fresno County, California",,,,,,,,,,,,,,
6019005406,"Census Tract 54.06, Fresno County, California",,,,,,,,,,,,,,
6019005407,"Census Tract 54.07, Fresno County, California",,,,,,,,,,,,,,
6019005408,"Census Tract 54.08, Fresno County, California",,,,,,,,,,,,,,
6019005409,"Census Tract 54.09, Fresno County, California",,,,,,,,,,,,,,
6019005410,"Census Tract 54.10, Fresno County, California",,,,,,,,,,,,,,
6019005503,"Census Tract 55.03, Fresno County, California",,,,,,,,,,,,,,
6019005504,"Census Tract 55.04, Fresno County, California",,,,,,,,,,,,,,
6019005505,"Census Tract 55.05, Fresno County, California",,,,,,,,,,,,,,
6019005507,"Census Tract 55.07, Fresno County, California",,,,,,,,,,,,,,
6019005508,"Census Tract 55.08, Fresno County, California",,,,,,,,,,,,,,
6019005509,"Census Tract 55.09, Fresno County, California",,,,,,,,,,,,,,
6019005510,"Census Tract 55.10, Fresno County, California",,,,,,,,,,,,,,
6019005512,"Census Tract 55.12, Fresno County, California",,,,,,,,,,,,,,
6019005513,"Census Tract 55.13, Fresno County, California",,,,,,,,,,,,,,
6019005514,"Census Tract 55.14, Fresno County, California",,,,,,,,,,,,,,
6019005515,"Census Tract 55.15, Fresno County, California",,,,,,,,,,,,,,
6019005516,"Census Tract 55.16, Fresno County, California",,,,,,,,,,,,,,
6019005517,"Census Tract 55.17, Fresno County, California",,,,,,,,,,,,,,
6019005518,"Census Tract 55.18, Fresno County, California",,,,,,,,,,,,,,
6019005520,"Census Tract 55.20, Fresno County, California",,,,,,,,,,,,,,
6019005522,"Census Tract 55.22, Fresno County, California",,,,,,,,,,,,,,
6019005524,"Census Tract 55.24, Fresno County, California",,,,,,,,,,,,,,
6019005525,"Census Tract 55.25, Fresno County, California",,,,,,,,,,,,,,
6019005602,"Census Tract 56.02, Fresno County, California",,,,,,,,,,,,,,
6019005605,"Census Tract 56.05, Fresno County, California",,,,,,,,,,,,,,
6019005606,"Census Tract 56.06, Fresno County, California",,,,,,,,,,,,,,
6019005607,"Census Tract 56.07, Fresno County, California",,,,,,,,,,,,,,
6019005608,"Census Tract 56.08, Fresno County, California",,,,,,,,,,,,,,
6019005701,"Census Tract 57.01, Fresno County, California",,,,,,,,,,,,,,
6019005702,"Census Tract 57.02, Fresno County, California",,,,,,,,,,,,,,
6019005703,"Census Tract 57.03, Fresno County, California",,,,,,,,,,,,,,
6019005704,"Census Tract 57.04, Fresno County, California",,,,,,,,,,,,,,
6019005801,"Census Tract 58.01, Fresno County, California",,,,,,,,,,,,,,
6019005802,"Census Tract 58.02, Fresno County, California",,,,,,,,,,,,,,
6019005804,"Census Tract 58.04, Fresno County, California",,,,,,,,,,,,,,
6019005805,"Census Tract 58.05, Fresno County, California",,,,,,,,,,,,,,
6019005904,"Census Tract 59.04, Fresno County, California",,,,,,,,,,,,,,
6019005905,"Census Tract 59.05, Fresno County, California",,,,,,,,,,,,,,
6019005906,"Census Tract 59.06, Fresno County, California",,,,,,,,,,,,,,
6019005907,"Census Tract 59.07, Fresno County, California",,,,,,,,,,,,,,
6019005909,"Census Tract 59.09, Fresno County, California",,,,,,,,,,,,,,
6019005911,"Census Tract 59.11, Fresno County, California",,,,,,,,,,,,,,
6019005912,"Census Tract 59.12, Fresno County, California",,,,,,,,,,,,,,
6019006000,"Census Tract 60, Fresno County, California",,,,,,,,,,,,,,
6019006100,"Census Tract 61, Fresno County, California",,,,,,,,,,,,,,
6019006201,"Census Tract 62.01, Fresno County, California",,,,,,,,,,,,,,
6019006202,"Census Tract 62.02, Fresno County, California",,,,,,,,,,,,,,
6019006300,"Census Tract 63, Fresno County, California",,,,,,,,,,,,,,
